id,id_curva,indicador_codigo,sexo_codigo,edad_valor,l,m,s,stdev,sd5neg,sd4neg,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,sd4
19,1,BMI,M,79,-1.1441,15.3978,0.08898,,,11.301,12.198,13.095,14.147,15.398,16.913,18.788,21.174,23.559
20,1,BMI,M,80,-1.1649,15.4137,0.08931,,,11.311,12.208,13.105,14.158,15.414,16.938,18.831,21.251,23.672
21,1,BMI,M,81,-1.1856,15.4302,0.08964,,,11.321,12.218,13.115,14.17,15.43,16.964,18.876,21.331,23.786
22,1,BMI,M,82,-1.206,15.4473,0.08998,,,11.331,12.228,13.126,14.183,15.447,16.991,18.922,21.413,23.905
23,1,BMI,M,83,-1.2261,15.465,0.09033,,,11.341,12.239,13.136,14.195,15.465,17.019,18.969,21.498,24.027
24,1,BMI,M,84,-1.246,15.4832,0.09068,,,11.351,12.25,13.148,14.209,15.483,17.047,19.017,21.584,24.152
25,1,BMI,M,85,-1.2656,15.5019,0.09103,,,11.362,12.261,13.159,14.222,15.502,17.076,19.066,21.672,24.279
26,1,BMI,M,86,-1.2849,15.521,0.09139,,,11.373,12.272,13.171,14.236,15.521,17.106,19.116,21.763,24.409
27,1,BMI,M,87,-1.304,15.5407,0.09176,,,11.384,12.283,13.183,14.25,15.541,17.136,19.168,21.856,24.544
28,1,BMI,M,88,-1.3228,15.5608,0.09213,,,11.395,12.295,13.195,14.265,15.561,17.167,19.22,21.95,24.681
29,1,BMI,M,89,-1.3414,15.5814,0.09251,,,11.406,12.307,13.208,14.28,15.581,17.199,19.274,22.048,24.822
30,1,BMI,M,90,-1.3596,15.6023,0.09289,,,11.417,12.319,13.221,14.295,15.602,17.231,19.328,22.147,24.966
31,1,BMI,M,91,-1.3776,15.6237,0.09327,,,11.428,12.331,13.234,14.311,15.624,17.264,19.383,22.247,25.112
32,1,BMI,M,92,-1.3953,15.6455,0.09366,,,11.44,12.343,13.247,14.327,15.646,17.297,19.44,22.351,25.262
33,1,BMI,M,93,-1.4126,15.6677,0.09406,,,11.451,12.356,13.26,14.343,15.668,17.331,19.497,22.457,25.416
34,1,BMI,M,94,-1.4297,15.6903,0.09445,,,11.463,12.368,13.274,14.36,15.69,17.366,19.555,22.563,25.571
35,1,BMI,M,95,-1.4464,15.7133,0.09486,,,11.474,12.381,13.288,14.377,15.713,17.401,19.615,22.673,25.732
36,1,BMI,M,96,-1.4629,15.7368,0.09526,,,11.486,12.394,13.302,14.394,15.737,17.437,19.675,22.785,25.895
37,1,BMI,M,97,-1.479,15.7606,0.09567,,,11.498,12.407,13.317,14.412,15.761,17.473,19.736,22.899,26.061
38,1,BMI,M,98,-1.4947,15.7848,0.09609,,,11.51,12.42,13.331,14.429,15.785,17.51,19.798,23.015,26.232
39,1,BMI,M,99,-1.5101,15.8094,0.09651,,,11.521,12.434,13.346,14.447,15.809,17.548,19.862,23.134,26.406
40,1,BMI,M,100,-1.5252,15.8344,0.09693,,,11.534,12.447,13.361,14.466,15.834,17.586,19.926,23.254,26.582
41,1,BMI,M,101,-1.5399,15.8597,0.09735,,,11.546,12.461,13.376,14.484,15.86,17.624,19.99,23.376,26.761
42,1,BMI,M,102,-1.5542,15.8855,0.09778,,,11.558,12.475,13.392,14.503,15.886,17.663,20.056,23.5,26.945
43,1,BMI,M,103,-1.5681,15.9116,0.09821,,,11.57,12.489,13.408,14.523,15.912,17.702,20.123,23.627,27.131
44,1,BMI,M,104,-1.5817,15.9381,0.09864,,,11.583,12.503,13.424,14.542,15.938,17.742,20.19,23.755,27.32
45,1,BMI,M,105,-1.5948,15.9651,0.09907,,,11.595,12.518,13.44,14.562,15.965,17.783,20.258,23.885,27.511
46,1,BMI,M,106,-1.6076,15.9925,0.09951,,,11.608,12.532,13.456,14.582,15.992,17.824,20.327,24.018,27.708
47,1,BMI,M,107,-1.6199,16.0205,0.09994,,,11.621,12.547,13.473,14.603,16.02,17.866,20.397,24.151,27.905
48,1,BMI,M,108,-1.6318,16.049,0.10038,,,11.634,12.562,13.491,14.624,16.049,17.908,20.468,24.288,28.107
49,1,BMI,M,109,-1.6433,16.0781,0.10082,,,11.647,12.578,13.508,14.646,16.078,17.952,20.54,24.426,28.312
50,1,BMI,M,110,-1.6544,16.1078,0.10126,,,11.661,12.594,13.526,14.668,16.108,17.996,20.613,24.567,28.52
51,1,BMI,M,111,-1.6651,16.1381,0.1017,,,11.675,12.61,13.545,14.691,16.138,18.04,20.687,24.709,28.731
52,1,BMI,M,112,-1.6753,16.1692,0.10214,,,11.689,12.626,13.564,14.714,16.169,18.086,20.763,24.854,28.945
53,1,BMI,M,113,-1.6851,16.2009,0.10259,,,11.703,12.643,13.583,14.738,16.201,18.132,20.839,25.001,29.163
54,1,BMI,M,114,-1.6944,16.2333,0.10303,,,11.718,12.661,13.603,14.763,16.233,18.179,20.916,25.149,29.382
55,1,BMI,M,115,-1.7032,16.2665,0.10347,,,11.733,12.679,13.624,14.788,16.266,18.227,20.994,25.299,29.604
56,1,BMI,M,116,-1.7116,16.3004,0.10391,,,11.749,12.697,13.645,14.814,16.3,18.276,21.074,25.451,29.828
57,1,BMI,M,117,-1.7196,16.3351,0.10435,,,11.765,12.716,13.667,14.84,16.335,18.326,21.154,25.605,30.055
58,1,BMI,M,118,-1.7271,16.3704,0.10478,,,11.781,12.735,13.689,14.867,16.37,18.376,21.234,25.758,30.282
59,1,BMI,M,119,-1.7341,16.4065,0.10522,,,11.798,12.755,13.712,14.895,16.406,18.428,21.317,25.915,30.513
60,1,BMI,M,120,-1.7407,16.4433,0.10566,,,11.815,12.775,13.735,14.923,16.443,18.48,21.4,26.073,30.746
61,1,BMI,M,121,-1.7468,16.4807,0.10609,,,11.832,12.796,13.759,14.952,16.481,18.532,21.483,26.231,30.979
62,1,BMI,M,122,-1.7525,16.5189,0.10652,,,11.85,12.817,13.784,14.982,16.519,18.586,21.568,26.391,31.213
63,1,BMI,M,123,-1.7578,16.5578,0.10695,,,11.868,12.838,13.808,15.012,16.558,18.64,21.653,26.552,31.45
64,1,BMI,M,124,-1.7626,16.5974,0.10738,,,11.886,12.86,13.834,15.043,16.597,18.696,21.739,26.714,31.688
65,1,BMI,M,125,-1.767,16.6376,0.1078,,,11.905,12.882,13.86,15.074,16.638,18.751,21.826,26.875,31.925
66,1,BMI,M,126,-1.771,16.6786,0.10823,,,11.924,12.905,13.886,15.106,16.679,18.808,21.914,27.04,32.166
67,1,BMI,M,127,-1.7745,16.7203,0.10865,,,11.943,12.928,13.913,15.139,16.72,18.865,22.002,27.204,32.405
68,1,BMI,M,128,-1.7777,16.7628,0.10906,,,11.964,12.952,13.941,15.172,16.763,18.923,22.09,27.367,32.643
69,1,BMI,M,129,-1.7804,16.8059,0.10948,,,11.984,12.976,13.969,15.206,16.806,18.982,22.18,27.533,32.885
70,1,BMI,M,130,-1.7828,16.8497,0.10989,,,12.004,13.001,13.998,15.241,16.85,19.042,22.271,27.698,33.125
71,1,BMI,M,131,-1.7847,16.8941,0.1103,,,12.025,13.026,14.027,15.276,16.894,19.102,22.362,27.863,33.365
72,1,BMI,M,132,-1.7862,16.9392,0.1107,,,12.046,13.051,14.056,15.312,16.939,19.163,22.452,28.027,33.602
73,1,BMI,M,133,-1.7873,16.985,0.1111,,,12.068,13.077,14.087,15.348,16.985,19.224,22.544,28.192,33.839
74,1,BMI,M,134,-1.7881,17.0314,0.1115,,,12.09,13.103,14.117,15.385,17.031,19.287,22.637,28.357,34.077
75,1,BMI,M,135,-1.7884,17.0784,0.11189,,,12.112,13.13,14.148,15.422,17.078,19.349,22.729,28.52,34.311
76,1,BMI,M,136,-1.7884,17.1262,0.11228,,,12.134,13.157,14.18,15.461,17.126,19.413,22.822,28.684,34.545
77,1,BMI,M,137,-1.788,17.1746,0.11266,,,12.157,13.185,14.212,15.499,17.175,19.477,22.915,28.846,34.776
78,1,BMI,M,138,-1.7873,17.2236,0.11304,,,12.181,13.213,14.245,15.539,17.224,19.542,23.009,29.008,35.006
79,1,BMI,M,139,-1.7861,17.2734,0.11342,,,12.204,13.241,14.278,15.578,17.273,19.607,23.104,29.169,35.235
80,1,BMI,M,140,-1.7846,17.324,0.11379,,,12.228,13.27,14.312,15.619,17.324,19.674,23.199,29.329,35.46
81,1,BMI,M,141,-1.7828,17.3752,0.11415,,,12.253,13.3,14.347,15.66,17.375,19.741,23.293,29.487,35.681
82,1,BMI,M,142,-1.7806,17.4272,0.11451,,,12.278,13.33,14.382,15.702,17.427,19.808,23.389,29.645,35.901
83,1,BMI,M,143,-1.778,17.4799,0.11487,,,12.303,13.36,14.417,15.745,17.48,19.877,23.485,29.802,36.119
84,1,BMI,M,144,-1.7751,17.5334,0.11522,,,12.328,13.391,14.453,15.788,17.533,19.946,23.581,29.957,36.333
85,1,BMI,M,145,-1.7719,17.5877,0.11556,,,12.355,13.422,14.49,15.833,17.588,20.015,23.677,30.11,36.542
86,1,BMI,M,146,-1.7684,17.6427,0.1159,,,12.381,13.454,14.528,15.877,17.643,20.086,23.774,30.262,36.75
87,1,BMI,M,147,-1.7645,17.6985,0.11623,,,12.408,13.487,14.566,15.923,17.698,20.157,23.871,30.412,36.952
88,1,BMI,M,148,-1.7604,17.7551,0.11656,,,12.436,13.52,14.605,15.969,17.755,20.229,23.969,30.561,37.154
89,1,BMI,M,149,-1.7559,17.8124,0.11688,,,12.464,13.554,14.644,16.016,17.812,20.302,24.067,30.708,37.349
90,1,BMI,M,150,-1.7511,17.8704,0.1172,,,12.492,13.588,14.684,16.063,17.87,20.375,24.165,30.854,37.543
91,1,BMI,M,151,-1.7461,17.9292,0.11751,,,12.52,13.622,14.724,16.112,17.929,20.449,24.263,30.998,37.732
92,1,BMI,M,152,-1.7408,17.9887,0.11781,,,12.55,13.658,14.766,16.161,17.989,20.524,24.362,31.138,37.915
93,1,BMI,M,153,-1.7352,18.0488,0.11811,,,12.579,13.693,14.807,16.21,18.049,20.599,24.46,31.278,38.096
94,1,BMI,M,154,-1.7293,18.1096,0.11841,,,12.609,13.729,14.849,16.26,18.11,20.675,24.559,31.417,38.275
95,1,BMI,M,155,-1.7232,18.171,0.11869,,,12.639,13.766,14.892,16.311,18.171,20.751,24.658,31.551,38.444
96,1,BMI,M,156,-1.7168,18.233,0.11898,,,12.669,13.802,14.935,16.362,18.233,20.829,24.757,31.686,38.616
97,1,BMI,M,157,-1.7102,18.2955,0.11925,,,12.7,13.839,14.979,16.414,18.296,20.906,24.856,31.816,38.777
98,1,BMI,M,158,-1.7033,18.3586,0.11952,,,12.731,13.877,15.023,16.466,18.359,20.984,24.954,31.945,38.936
99,1,BMI,M,159,-1.6962,18.4221,0.11979,,,12.762,13.915,15.067,16.519,18.422,21.062,25.053,32.073,39.093
100,1,BMI,M,160,-1.6888,18.486,0.12005,,,12.794,13.953,15.112,16.572,18.486,21.14,25.152,32.197,39.243
101,1,BMI,M,161,-1.6811,18.5502,0.1203,,,12.825,13.991,15.157,16.625,18.55,21.219,25.249,32.317,39.385
102,1,BMI,M,162,-1.6732,18.6148,0.12055,,,12.857,14.029,15.202,16.679,18.615,21.298,25.347,32.436,39.525
103,1,BMI,M,163,-1.6651,18.6795,0.12079,,,12.889,14.068,15.247,16.733,18.68,21.376,25.444,32.551,39.659
104,1,BMI,M,164,-1.6568,18.7445,0.12102,,,12.921,14.107,15.293,16.787,18.744,21.455,25.54,32.663,39.786
105,1,BMI,M,165,-1.6482,18.8095,0.12125,,,12.952,14.145,15.338,16.841,18.81,21.534,25.635,32.772,39.909
106,1,BMI,M,166,-1.6394,18.8746,0.12148,,,12.984,14.184,15.384,16.895,18.875,21.613,25.731,32.88,40.03
107,1,BMI,M,167,-1.6304,18.9398,0.1217,,,13.015,14.222,15.429,16.95,18.94,21.691,25.825,32.985,40.144
108,1,BMI,M,168,-1.6211,19.005,0.12191,,,13.047,14.261,15.475,17.004,19.005,21.77,25.918,33.084,40.25
109,1,BMI,M,169,-1.6116,19.0701,0.12212,,,13.078,14.299,15.521,17.058,19.07,21.848,26.011,33.182,40.353
110,1,BMI,M,170,-1.602,19.1351,0.12233,,,13.109,14.337,15.566,17.113,19.135,21.926,26.103,33.279,40.454
111,1,BMI,M,171,-1.5921,19.2,0.12253,,,13.139,14.375,15.611,17.167,19.2,22.004,26.194,33.371,40.547
112,1,BMI,M,172,-1.5821,19.2648,0.12272,,,13.17,14.414,15.657,17.221,19.265,22.081,26.284,33.459,40.634
113,1,BMI,M,173,-1.5719,19.3294,0.12291,,,13.201,14.451,15.702,17.275,19.329,22.158,26.373,33.546,40.718
114,1,BMI,M,174,-1.5615,19.3937,0.1231,,,13.231,14.489,15.747,17.329,19.394,22.235,26.462,33.631,40.8
115,1,BMI,M,175,-1.551,19.4578,0.12328,,,13.261,14.526,15.791,17.382,19.458,22.311,26.549,33.712,40.875
116,1,BMI,M,176,-1.5403,19.5217,0.12346,,,13.29,14.563,15.836,17.435,19.522,22.387,26.635,33.791,40.948
117,1,BMI,M,177,-1.5294,19.5853,0.12363,,,13.319,14.6,15.88,17.489,19.585,22.462,26.72,33.866,41.013
118,1,BMI,M,178,-1.5185,19.6486,0.1238,,,13.348,14.636,15.924,17.541,19.649,22.537,26.804,33.941,41.078
119,1,BMI,M,179,-1.5074,19.7117,0.12396,,,13.377,14.672,15.968,17.594,19.712,22.611,26.887,34.012,41.137
120,1,BMI,M,180,-1.4961,19.7744,0.12412,,,13.405,14.708,16.011,17.647,19.774,22.685,26.969,34.081,41.192
121,1,BMI,M,181,-1.4848,19.8367,0.12428,,,13.433,14.744,16.054,17.699,19.837,22.758,27.051,34.149,41.247
122,1,BMI,M,182,-1.4733,19.8987,0.12443,,,13.461,14.779,16.097,17.75,19.899,22.831,27.13,34.213,41.295
123,1,BMI,M,183,-1.4617,19.9603,0.12458,,,13.488,14.814,16.14,17.802,19.96,22.903,27.21,34.275,41.341
124,1,BMI,M,184,-1.45,20.0215,0.12473,,,13.515,14.848,16.182,17.853,20.022,22.975,27.288,34.337,41.386
125,1,BMI,M,185,-1.4382,20.0823,0.12487,,,13.541,14.882,16.224,17.904,20.082,23.046,27.365,34.395,41.425
126,1,BMI,M,186,-1.4263,20.1427,0.12501,,,13.567,14.916,16.265,17.954,20.143,23.116,27.441,34.452,41.462
127,1,BMI,M,187,-1.4143,20.2026,0.12514,,,13.593,14.95,16.306,18.004,20.203,23.186,27.515,34.505,41.495
128,1,BMI,M,188,-1.4022,20.2621,0.12528,,,13.618,14.982,16.347,18.053,20.262,23.255,27.59,34.559,41.529
129,1,BMI,M,189,-1.39,20.3211,0.12541,,,13.643,15.015,16.387,18.103,20.321,23.324,27.662,34.61,41.558
130,1,BMI,M,190,-1.3777,20.3796,0.12554,,,13.667,15.047,16.427,18.151,20.38,23.391,27.734,34.66,41.585
131,1,BMI,M,191,-1.3653,20.4376,0.12567,,,13.69,15.078,16.466,18.199,20.438,23.459,27.805,34.708,41.611
132,1,BMI,M,192,-1.3529,20.4951,0.12579,,,13.714,15.109,16.505,18.247,20.495,23.525,27.875,34.754,41.632
133,1,BMI,M,193,-1.3403,20.5521,0.12591,,,13.736,15.14,16.543,18.295,20.552,23.591,27.943,34.797,41.651
134,1,BMI,M,194,-1.3277,20.6085,0.12603,,,13.759,15.17,16.581,18.342,20.608,23.656,28.011,34.84,41.67
135,1,BMI,M,195,-1.3149,20.6644,0.12615,,,13.78,15.199,16.619,18.388,20.664,23.721,28.078,34.881,41.685
136,1,BMI,M,196,-1.3021,20.7197,0.12627,,,13.801,15.228,16.656,18.434,20.72,23.785,28.143,34.922,41.7
137,1,BMI,M,197,-1.2892,20.7745,0.12638,,,13.822,15.257,16.692,18.479,20.774,23.847,28.207,34.959,41.711
138,1,BMI,M,198,-1.2762,20.8287,0.1265,,,13.842,15.285,16.728,18.524,20.829,23.91,28.271,34.997,41.723
139,1,BMI,M,199,-1.2631,20.8824,0.12661,,,13.861,15.312,16.763,18.568,20.882,23.972,28.334,35.032,41.73
140,1,BMI,M,200,-1.2499,20.9355,0.12672,,,13.88,15.339,16.798,18.612,20.936,24.032,28.395,35.066,41.736
141,1,BMI,M,201,-1.2366,20.9881,0.12683,,,13.898,15.365,16.833,18.655,20.988,24.093,28.456,35.098,41.741
142,1,BMI,M,202,-1.2233,21.04,0.12694,,,13.916,15.391,16.867,18.698,21.04,24.152,28.515,35.13,41.744
143,1,BMI,M,203,-1.2098,21.0914,0.12704,,,13.933,15.417,16.9,18.741,21.091,24.211,28.573,35.158,41.743
144,1,BMI,M,204,-1.1962,21.1423,0.12715,,,13.95,15.441,16.933,18.782,21.142,24.269,28.63,35.187,41.743
145,1,BMI,M,205,-1.1826,21.1925,0.12726,,,13.965,15.465,16.965,18.823,21.192,24.327,28.687,35.215,41.743
146,1,BMI,M,206,-1.1688,21.2423,0.12736,,,13.981,15.489,16.997,18.864,21.242,24.383,28.742,35.24,41.737
147,1,BMI,M,207,-1.155,21.2914,0.12746,,,13.996,15.512,17.028,18.904,21.291,24.439,28.797,35.264,41.732
148,1,BMI,M,208,-1.141,21.34,0.12756,,,14.01,15.534,17.059,18.944,21.34,24.494,28.85,35.287,41.724
149,1,BMI,M,209,-1.127,21.388,0.12767,,,14.023,15.556,17.089,18.983,21.388,24.549,28.903,35.31,41.718
150,1,BMI,M,210,-1.1129,21.4354,0.12777,,,14.036,15.577,17.118,19.022,21.435,24.603,28.954,35.331,41.708
151,1,BMI,M,211,-1.0986,21.4822,0.12787,,,14.048,15.598,17.147,19.06,21.482,24.656,29.005,35.351,41.697
152,1,BMI,M,212,-1.0843,21.5285,0.12797,,,14.06,15.618,17.176,19.097,21.528,24.708,29.054,35.369,41.685
153,1,BMI,M,213,-1.0699,21.5742,0.12807,,,14.071,15.637,17.204,19.134,21.574,24.76,29.103,35.387,41.671
154,1,BMI,M,214,-1.0553,21.6193,0.12816,,,14.081,15.656,17.231,19.171,21.619,24.811,29.15,35.402,41.653
155,1,BMI,M,215,-1.0407,21.6638,0.12826,,,14.091,15.674,17.258,19.207,21.664,24.861,29.197,35.417,41.638
156,1,BMI,M,216,-1.026,21.7077,0.12836,,,14.1,15.692,17.284,19.242,21.708,24.911,29.243,35.432,41.621
157,1,BMI,M,217,-1.0112,21.751,0.12845,,,14.108,15.709,17.31,19.277,21.751,24.959,29.287,35.443,41.6
158,1,BMI,M,218,-0.9962,21.7937,0.12855,,,14.116,15.725,17.335,19.311,21.794,25.008,29.331,35.455,41.58
159,1,BMI,M,219,-0.9812,21.8358,0.12864,,,14.123,15.741,17.36,19.344,21.836,25.055,29.373,35.465,41.558
160,1,BMI,M,220,-0.9661,21.8773,0.12874,,,14.129,15.756,17.383,19.377,21.877,25.102,29.415,35.476,41.536
161,1,BMI,M,221,-0.9509,21.9182,0.12883,,,14.135,15.771,17.407,19.41,21.918,25.147,29.455,35.483,41.512
162,1,BMI,M,222,-0.9356,21.9585,0.12893,,,14.14,15.784,17.429,19.442,21.958,25.193,29.496,35.492,41.488
163,1,BMI,M,223,-0.9202,21.9982,0.12902,,,14.144,15.798,17.452,19.473,21.998,25.237,29.534,35.498,41.461
164,1,BMI,M,224,-0.9048,22.0374,0.12911,,,14.148,15.811,17.473,19.504,22.037,25.281,29.572,35.503,41.434
165,1,BMI,M,225,-0.8892,22.076,0.1292,,,14.151,15.823,17.495,19.535,22.076,25.324,29.609,35.507,41.406
166,1,BMI,M,226,-0.8735,22.114,0.1293,,,14.153,15.834,17.515,19.564,22.114,25.366,29.646,35.512,41.378
167,1,BMI,M,227,-0.8578,22.1514,0.12939,,,14.155,15.845,17.535,19.594,22.151,25.408,29.681,35.515,41.348
168,1,BMI,M,228,-0.8419,22.1883,0.12948,,,14.156,15.855,17.554,19.622,22.188,25.449,29.716,35.516,41.317
169,2,BMI,F,61,-0.8886,15.2441,0.09692,,,10.793,11.77,12.748,13.891,15.244,16.87,18.858,21.34,23.821
170,2,BMI,F,62,-0.9068,15.2434,0.09738,,,10.786,11.763,12.741,13.885,15.243,16.879,18.886,21.403,23.92
171,2,BMI,F,63,-0.9248,15.2433,0.09783,,,10.78,11.757,12.734,13.881,15.243,16.889,18.915,21.468,24.02
172,2,BMI,F,64,-0.9427,15.2438,0.09829,,,10.775,11.752,12.728,13.876,15.244,16.9,18.946,21.535,24.123
173,2,BMI,F,65,-0.9605,15.2448,0.09875,,,10.77,11.746,12.723,13.872,15.245,16.911,18.977,21.603,24.23
174,2,BMI,F,66,-0.978,15.2464,0.0992,,,10.765,11.742,12.718,13.869,15.246,16.923,19.009,21.673,24.337
175,2,BMI,F,67,-0.9954,15.2487,0.09966,,,10.761,11.737,12.714,13.866,15.249,16.936,19.042,21.745,24.448
176,2,BMI,F,68,-1.0126,15.2516,0.10012,,,10.757,11.733,12.71,13.864,15.252,16.95,19.077,21.819,24.561
177,2,BMI,F,69,-1.0296,15.2551,0.10058,,,10.754,11.73,12.706,13.863,15.255,16.964,19.112,21.895,24.678
178,2,BMI,F,70,-1.0464,15.2592,0.10104,,,10.751,11.727,12.703,13.862,15.259,16.979,19.148,21.973,24.797
179,2,BMI,F,71,-1.063,15.2641,0.10149,,,10.749,11.725,12.701,13.862,15.264,16.995,19.185,22.051,24.917
180,2,BMI,F,72,-1.0794,15.2697,0.10195,,,10.747,11.723,12.7,13.862,15.27,17.011,19.224,22.133,25.042
181,2,BMI,F,73,-1.0956,15.276,0.10241,,,10.745,11.722,12.699,13.863,15.276,17.029,19.264,22.217,25.17
182,2,BMI,F,74,-1.1115,15.2831,0.10287,,,10.744,11.721,12.698,13.865,15.283,17.047,19.305,22.303,25.301
183,2,BMI,F,75,-1.1272,15.2911,0.10333,,,10.744,11.721,12.699,13.867,15.291,17.067,19.347,22.391,25.435
184,2,BMI,F,76,-1.1427,15.2998,0.10379,,,10.744,11.722,12.7,13.87,15.3,17.087,19.391,22.481,25.572
185,2,BMI,F,77,-1.1579,15.3095,0.10425,,,10.745,11.723,12.701,13.874,15.31,17.108,19.436,22.574,25.712
186,2,BMI,F,78,-1.1728,15.32,0.10471,,,10.746,11.725,12.704,13.879,15.32,17.131,19.482,22.668,25.855
187,2,BMI,F,79,-1.1875,15.3314,0.10517,,,10.748,11.727,12.707,13.885,15.331,17.154,19.529,22.766,26.002
188,2,BMI,F,80,-1.2019,15.3439,0.10562,,,10.751,11.731,12.711,13.892,15.344,17.179,19.578,22.864,26.15
189,2,BMI,F,81,-1.216,15.3572,0.10608,,,10.754,11.735,12.716,13.899,15.357,17.204,19.628,22.966,26.304
190,2,BMI,F,82,-1.2298,15.3717,0.10654,,,10.758,11.74,12.721,13.907,15.372,17.231,19.68,23.071,26.461
191,2,BMI,F,83,-1.2433,15.3871,0.107,,,10.762,11.745,12.728,13.916,15.387,17.259,19.734,23.178,26.621
192,2,BMI,F,84,-1.2565,15.4036,0.10746,,,10.767,11.751,12.735,13.927,15.404,17.289,19.789,23.287,26.785
193,2,BMI,F,85,-1.2693,15.4211,0.10792,,,10.773,11.758,12.743,13.938,15.421,17.319,19.845,23.399,26.953
194,2,BMI,F,86,-1.2819,15.4397,0.10837,,,10.779,11.766,12.752,13.95,15.44,17.35,19.903,23.512,27.122
195,2,BMI,F,87,-1.2941,15.4593,0.10883,,,10.786,11.774,12.762,13.963,15.459,17.383,19.963,23.629,27.296
196,2,BMI,F,88,-1.306,15.4798,0.10929,,,10.793,11.783,12.772,13.976,15.48,17.417,20.023,23.749,27.474
197,2,BMI,F,89,-1.3175,15.5014,0.10974,,,10.802,11.793,12.783,13.991,15.501,17.452,20.085,23.869,27.653
198,2,BMI,F,90,-1.3287,15.524,0.1102,,,10.81,11.803,12.795,14.007,15.524,17.488,20.149,23.994,27.838
199,2,BMI,F,91,-1.3395,15.5476,0.11065,,,10.82,11.814,12.808,14.023,15.548,17.526,20.214,24.119,28.023
200,2,BMI,F,92,-1.3499,15.5723,0.1111,,,10.83,11.826,12.822,14.041,15.572,17.564,20.281,24.246,28.212
201,2,BMI,F,93,-1.36,15.5979,0.11156,,,10.84,11.838,12.836,14.059,15.598,17.604,20.349,24.377,28.406
202,2,BMI,F,94,-1.3697,15.6246,0.11201,,,10.851,11.851,12.852,14.078,15.625,17.645,20.418,24.51,28.601
203,2,BMI,F,95,-1.379,15.6523,0.11246,,,10.862,11.865,12.868,14.099,15.652,17.687,20.489,24.644,28.799
204,2,BMI,F,96,-1.388,15.681,0.11291,,,10.874,11.879,12.884,14.12,15.681,17.73,20.561,24.781,29.001
205,2,BMI,F,97,-1.3966,15.7107,0.11335,,,10.887,11.895,12.902,14.142,15.711,17.774,20.634,24.918,29.203
206,2,BMI,F,98,-1.4047,15.7415,0.1138,,,10.9,11.91,12.92,14.164,15.742,17.82,20.709,25.059,29.409
207,2,BMI,F,99,-1.4125,15.7732,0.11424,,,10.914,11.927,12.94,14.188,15.773,17.866,20.784,25.2,29.617
208,2,BMI,F,100,-1.4199,15.8058,0.11469,,,10.928,11.944,12.959,14.212,15.806,17.914,20.862,25.345,29.829
209,2,BMI,F,101,-1.427,15.8394,0.11513,,,10.943,11.962,12.98,14.238,15.839,17.962,20.94,25.491,30.042
210,2,BMI,F,102,-1.4336,15.8738,0.11557,,,10.958,11.98,13.001,14.264,15.874,18.012,21.019,25.638,30.256
